,brands,product_name,main_category,energy_100g,fat_100g,proteins_100g,salt_100g,carbohydrates_100g,sugars_100g,sodium_100g,saturated-fat_100g
639,"Smarties,Nestle",Smarties Mini,en:sugary-snacks,2000.0,19.6,5.3,0.14,69.5,64.0,0.0551181102362205,11.3
640,M-Budget,Champignons de Paris coupés,en:plant-based-foods-and-beverages,75.0,0.5,2.5,0.75,0.5,0.5,0.295275590551181,0.5
641,"Milka,TUC",Alpenmilch Schokolade & TUC Cracker,en:chocolats,2190.0,28.0,6.3,0.8,59.5,50.5,0.31496062992126,16.5
643,"Philadelphia,Philadelphia Sensations",Philadelphia Luftig & Lecker Kräuter der Provence,en:dairies,1045.0,24.0,6.2,1.1,2.8,2.8,0.433070866141732,15.5
644,"Milka,Oreo",Milka Oreo,en:sugary-snacks,2316.0,34.0,5.4,0.49,56.0,49.0,0.192913385826772,19.0
645,"Milka,Mondelez",Milka Tender Milch,en:sugary-snacks,1775.0,20.0,5.9,0.6,55.5,37.5,0.236220472440945,12.5
649,Cirio,Pasatta Rustica,en:groceries,135.0,0.1,1.2,0.02,5.3,4.2,0.0078740157480315,0.1
650,Cirio,Pulpe en dès,en:plant-based-foods-and-beverages,113.0,0.2,1.1,0.03,4.4,3.4,0.0118110236220472,0.1
651,Cirio,Provvista Sugo con Basilico,en:groceries,171.0,0.3,1.5,0.930000000000001,6.6,5.1,0.366141732283465,0.0
652,"Ferrero,Nutella,Nutella B-ready,B-ready",Nutella B-ready,en:sugary-snacks,2100.0,24.1,8.3,0.608,60.9,44.6,0.239370078740157,8.4
655,Rana,Tortellini Ricotta & Spinaci,en:plant-based-foods-and-beverages,1072.0,8.0,9.0,1.2,35.5,5.5,0.47244094488189,3.5
656,Rana,Tortellini Prosciutto Crudo & Formaggio,en:plant-based-foods-and-beverages,1263.0,7.5,13.0,1.9,44.0,5.0,0.748031496062992,3.0
657,Giovanni Rana,Tortellini Pesto-Basilico & Pinoli,en:plant-based-foods-and-beverages,1284.0,14.0,10.0,1.0,34.0,4.0,0.393700787401575,4.5
659,Monini,GranFruttato,en:plant-based-foods-and-beverages,3404.0,92.0,0.0,0.0,0.0,0.0,0.0,14.0
661,Schär,Pasta all'uovo,en:plant-based-foods-and-beverages,1579.0,4.3,6.4,0.18,76.0,0.3,0.0708661417322835,1.5
662,Schär,Brot-Mix,en:plant-based-foods-and-beverages,1461.0,1.1,3.7,1.0,77.0,4.0,0.393700787401575,0.3
663,Schär,Digestive Landtaler,en:sugary-snacks,2021.0,22.0,6.1,0.63,62.0,21.0,0.248031496062992,9.0
664,Schär,Vollkornbrot,en:plant-based-foods-and-beverages,990.0,7.0,7.0,0.83,31.0,2.0,0.326771653543307,0.8
665,LaSelva,Polpa di pomodoro,en:plant-based-foods-and-beverages,114.0,0.2,1.1,0.05,4.0,3.5,0.0196850393700787,0.1
667,Barilla,Barilla Pesto calabrese,en:groceries,1343.0,29.0,3.0,2.72,12.2,6.0,1.07086614173228,4.0
668,Barilla,i Pesti Ricotta e Noci alla Siciliana,en:groceries,1676.0,36.5,5.2,2.5,13.2,6.5,0.984251968503937,5.0
670,barilla,Pesto Pomodori Secchi,en:groceries,1390.0,30.6,2.4,2.6416,11.6,9.3,1.04,2.4
671,Barilla,Bolognese formaggi italiani Barilla,en:groceries,353.0,3.6,3.9,1.00076,8.4,4.2,0.394,1.5
672,Mentos,3 Erdbeere-Grüner Apfel-Himbeere,en:sugary-snacks,610.0,1.1,0.3,0.0,58.0,0.0,0.0,1.0
673,"Oreo,Mondelez",Original,en:sugary-snacks,2010.0,20.0,5.0,0.9,69.0,38.0,0.354330708661417,9.8
678,Annabis,Organic hemp seed oil,en:plant-based-foods-and-beverages,3443.0,92.0,0.0,0.0,0.0,0.0,0.0,8.0
679,Bambi,Plazma slana,en:sugary-snacks,1868.0,16.3,11.0,2.5,62.9,7.0,0.984251968503937,6.0
682,pcd,Smooth peanut butter,en:plant-based-foods-and-beverages,2625.0,56.0,27.0,0.8,8.5,5.4,0.31496062992126,8.0
683,Brinkers,Crunchy Mandel,en:spreads,2380.0,40.0,6.4,0.08,45.0,45.0,0.031496062992126,7.0
684,Valess,Valess Provençal,en:meals,854.0,10.0,10.5,1.1,16.3,1.7,0.433070866141732,2.7
685,Valess,Filetstückchen,en:plant-based-foods-and-beverages,420.0,0.6,17.4,1.8,3.0,1.1,0.708661417322835,0.3
690,"Ben & Jerry's,Unilever",Raspberry Cheesecake Cookie Core,en:desserts,1209.0,18.0,3.6,0.24,28.0,23.0,0.0944881889763779,9.8
693,"Ben & Jerry's,Unilever",Chocolate & Caramel Ice Creams with Chocolatey Chunks & a Soft Caramel Core,en:desserts,1100.0,14.0,4.0,0.109982,27.0,26.0,0.0433,10.0
694,Suki,Bread crumbs,en:plant-based-foods-and-beverages,398.0,1.5,14.0,0.38,76.0,5.0,0.149606299212598,0.0
695,Hak,Rotkohl mit Apfelstücken,en:plant-based-foods-and-beverages,272.0,0.5,1.0,0.83,13.0,12.0,0.326771653543307,0.1
699,Nongshim,Shin Ramyun Instant Noodles,en:plant-based-foods-and-beverages,1808.0,14.0,8.9,3.70000000000001,67.0,3.0,1.45669291338583,6.8
701,YumYum,Oriental Style instant noodles Beef Flavor,en:plant-based-foods-and-beverages,2010.0,22.8,7.67,5.27,59.2,4.33,2.07,11.2
702,YumYum,Oriental Style instant noodles Curry flavour,en:plant-based-foods-and-beverages,1171.0,10.7,5.1,1.016,39.5,2.2,0.4,5.2
703,YumYum,Oriental Style instant noodles Chicken Flavour,en:plant-based-foods-and-beverages,379.0,4.0,4.8,1.016,11.9,0.5,0.4,1.9
704,Manner,Original Neapolitaner,en:waffles,2038.0,21.6,5.6,0.1,65.3,46.0,0.0393700787401575,13.3
705,Hauswirth,Schoko-Bananen,en:sugary-snacks,1503.0,8.5,2.1,0.12,66.0,61.0,0.047244094488189,5.1
707,Mama's Bestes,Chili Sin Carne,en:meals,444.0,1.4,4.7,0.85,17.0,1.8,0.334645669291339,0.2
709,Steirerkraft,Kürbiskernöl,en:plant-based-foods-and-beverages,3404.0,92.0,0.0,0.0,0.0,0.0,0.0,18.0
710,Rauch,Happy Day 100% Orange,en:fruit-juices,192.0,0.24,0.68,0.00254,9.5,9.4,0.001,0.1
711,Joya,Joya Soya,en:beverages,246.0,1.9,3.2,0.15,6.9,6.4,0.0590551181102362,0.3
713,the Tasmanian Honey Company,Genuine Tasmanian Leatherwood Honey,en:spreads,1401.0,0.0,0.0,35.56,82.1,82.1,14.0,0.0
