"date","Mcomplete","Stdcomplete","Mlast300","Mlast200","Mlast100","MinCompl","Q25Compl","Q50Compl","Q75Compl","MaxCompl"
"39903",2016-06-21 06:43:00,52.0949263502455,3.76709094871338,53.879746835443,53.5943396226415,53.4528301886792,46,50,51,54,68
"40230",2016-06-22 07:29:00,57.6395348837209,3.42419187054919,58.7124183006536,59.0882352941176,57.2884615384615,52,55,57.5,60,69
"39995",2016-06-23 06:39:48,55.297342192691,3.16800134548144,54.8025477707006,55,52.9814814814815,52,53,54,57,69
"40235",2016-06-24 09:02:31,56.9851973684211,3.43277803464142,58.4605263157895,59.7326732673267,59.7647058823529,52,54,56,59,69
"39897",2016-06-26 07:47:43,57.9335548172757,4.40339873889804,59.4172185430464,59.2475247524753,60.96,49,55,58,60,72
"40467",2016-06-27 07:11:04,58.8360927152318,3.61835499002572,60.14,60.72,63.4081632653061,52,56,58,61,70
"40187",2016-06-28 08:33:36,59.9804241435563,4.62653703301373,60.4533333333333,60.93,60.2745098039216,53,57,59,61,79
"40113",2016-06-29 06:38:13,52.9966777408638,3.48517023589679,54.9044585987261,55.1047619047619,57.0192307692308,47,51,52,54,70
"40321",2016-06-30 06:49:23,54.4634551495017,3.44089529358944,54.7070063694268,54.3619047619048,58.1372549019608,48,52,54,56,68
"40374",2016-07-01 08:03:46,56.4444444444444,3.60920606652263,58.4934210526316,58.7524752475247,59.0392156862745,50,53,57,59,71
"40486",2016-07-02 08:31:44,57.5885245901639,3.72091229348151,59.9066666666667,58.5294117647059,58.6666666666667,51,55,57,60,70
"40133",2016-07-03 07:23:06,54.4335548172757,3.72066276830164,56.0540540540541,56.4791666666667,57.2444444444444,48,52,54,56,70
"40194",2016-07-04 06:32:04,56.2063227953411,5.57052001961781,59.2828947368421,54.7452830188679,51.3333333333333,49,52,55,58,74
"40046",2016-07-05 08:04:09,54.0382695507488,3.9530831427998,55.2165605095541,55.7115384615385,56.1923076923077,46,52,53,56,70
"40448",2016-07-06 07:15:20,50.8597662771285,4.31498523799852,50.8957055214724,51.5185185185185,52.622641509434,46,48,49,52,70
"39889",2016-07-07 08:22:27,56.4448160535117,3.48907818041121,57.4052287581699,57.3333333333333,56.7058823529412,49,55,56,58,69
"40255",2016-07-08 06:33:26,49.6029900332226,3.474201237623,50.3680981595092,49.8181818181818,48.9636363636364,44,47,49,51,69
"40085",2016-07-09 06:03:57,52.1186161449753,4.62798554740609,55.2802547770701,56.4134615384615,58.2307692307692,44,49,52,55,69
"40447",2016-07-10 08:15:03,52.7944535073409,3.35193367807753,53.7341772151899,53.0943396226415,53.6792452830189,47,51,52,54,70
"40220",2016-07-11 06:21:54,53.2889983579639,3.8914414122276,53.2767295597484,52.3738317757009,54.4905660377358,47,51,52,55,69
"39941",2016-07-12 08:17:06,53.8540630182421,3.6095014761489,54.1835443037975,55.1428571428571,53.5849056603774,48,51,53,56,69
"40152",2016-07-13 07:40:17,55.3037542662116,4.39773285426257,54.4113924050633,55.5288461538462,55.9245283018868,49,52,54,58,68
"39992",2016-07-14 08:31:30,55.1279069767442,4.13723628338334,55.9870967741935,57.2254901960784,59.6,48,52,55,57,69
"40101",2016-07-15 07:47:45,53.2728785357737,5.57064447500363,57.2597402597403,57.9514563106796,49.8363636363636,47,50,51,55,80
"39948",2016-07-23 07:16:25,56.955074875208,3.10906926631069,58.5723684210526,59.2277227722772,60.26,50,55,57,58,70
"40391",2016-07-26 07:00:57,58.9057239057239,5.56287388249824,59.1920529801325,59.37,63.6458333333333,50,55,57,62,75
"40166",2016-07-27 07:31:14,60.1033333333333,3.8958891337485,60.8145695364238,61.4158415841584,57.5961538461538,54,57,59,62,71
"39989",2016-07-28 06:33:42,54.5681063122924,3.37350635986653,55.9871794871795,55.2666666666667,56.2115384615385,50,52,54,56,70
"40181",2016-07-29 07:13:47,52.187707641196,4.30721042263628,53.2075471698113,53.1509433962264,53.8679245283019,45,49,52,54,69
"39924",2016-07-30 09:01:02,51.8970099667774,4.27187813401949,52.30625,52.3551401869159,57.3529411764706,46,49,51,53.75,69
"40201",2016-07-31 08:30:19,50.2238805970149,4.1796803434108,51.0740740740741,51.8981481481481,48,44,47,49,52,70
"40074",2016-08-01 08:16:00,53.5173553719008,2.62598696948387,53.5849056603774,53.6132075471698,55.5769230769231,49,52,53,55,69
"40404",2016-08-02 08:01:01,49.6840390879479,3.75443263484146,50.4012345679012,51.6018518518519,52.5849056603774,44,47,49,52,69
"39993",2016-08-03 06:50:50,49.3917355371901,3.24959464555307,48.7168674698795,49.1636363636364,48.6964285714286,46,48,49,50,69
"39944",2016-08-04 07:44:09,50.6378737541528,3.22404043648887,51,50.7592592592593,51.2407407407407,46,49,50,51,69
