"calc_ident_id","rr_min","rr_max","rr_mean","rr_max_min_rel","sdnn","sd1","sd2","rmssd","pnn50","power_hf","power_lf","power_lf_hf","power_total","power_vlf"
"3971",38054,1053,1603,1277.08,1.52,112.73,71.32,142.58,100.86,61.75,2730.92,3315.52,1.21,6248.6,156.89
"3972",38057,935,2100,1291.47,2.25,177.54,84.49,236.44,119.49,66.51,2767.04,5724.19,2.07,9351.81,842.68
"3973",38060,1000,1439,1187.94,1.44,75.35,45.76,96.23,64.72,47.56,1252.75,1078.46,0.86,2410.54,52.77
"3974",38063,1032,1770,1358.49,1.72,137.57,83.76,175.6,118.45,70.37,3606.36,1519.18,0.42,5212.82,140.49
"3975",38064,1143,1806,1450.26,1.58,140.1,93.72,174.56,132.54,74.46,3534.68,4296.47,1.22,8282.3,322.52
"3976",38069,983,1647,1267.54,1.68,125.72,70.38,163.27,99.53,62.99,2548.17,5338.77,2.1,8113.49,204.86
"3977",38072,1075,1764,1329.19,1.64,128.35,76.96,164.39,108.83,66.79,2960.41,2635.45,0.89,5784.31,114.44
"3978",38073,1010,1755,1332.45,1.74,141.77,93.27,177.48,131.9,72.95,4465,1707.47,0.38,6298.51,118.28
"3979",38074,1016,1736,1309.12,1.71,150.23,90.29,192.32,127.69,72.73,4536.4,2773.15,0.61,7529.44,178.57
"3980",38075,1090,1767,1397.17,1.62,129.6,80.59,164.61,113.97,74.57,3136.72,1513.55,0.48,4748.6,112.77
