,Geldgeber,Kategorie,Betrag,Empfänger,Jahr,Ort,Bundesland,Branche,Schlagworte
"Parteispende:Gauselmann AG-CSU-2013","Gauselmann AG",Kategorie:Parteispende,"12000,00 €",CSU,2013,Espelkamp,,,
"Parteispende:Dr. August Oetker KG-CSU-2012","Dr. August Oetker KG",Kategorie:Parteispende,"30000,00 €",CSU,2012,Bielefeld,,,
"Parteispende:Verband der Chemischen Industrie e.V.-CSU-2013","Verband der Chemischen Industrie",Kategorie:Parteispende,"15000,00 €",CSU,2013,"Frankfurt am Main",,,
"Parteispende:SOCIETAET CHORVS AG-CDU-2014","SOCIETAET CHORVS AG",Kategorie:Parteispende,"25500,00 €",CDU,2014,Düsseldorf,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-SPD-2011","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.",Kategorie:Parteispende,"60000,00 €",SPD,2011,Stuttgart,,,
"Parteispende:GIP Grundig Immobilienpark GmbH & Co. KG-CSU-2013","GIP Grundig Immobilienpark GmbH & Co. KG",Kategorie:Parteispende,"10500,00 €",CSU,2013,Nürnberg,,,
"Parteispende:ERGO Versicherungsgruppe AG-CSU-2014","ERGO Versicherungsgruppe AG",Kategorie:Parteispende,"15000,00 €",CSU,2014,Düsseldorf,,,
"Parteispende:ERGO Versicherungsgruppe AG-SPD-2013","ERGO Versicherungsgruppe AG",Kategorie:Parteispende,"15000,00 €",SPD,2013,Düsseldorf,,,
"Parteispende:Berenberg Bank Joh. Berenberg, Gossler & Co. KG-CDU-2015","Berenberg Bank Joh. Berenberg, Gossler & Co. KG",Kategorie:Parteispende,"45000,00 €",CDU,2015,Hamburg,,,
"Parteispende:Bundesverband Deutscher Vermögensberater e.V.-CDU-2011","Bundesverband Deutscher Vermögensberater e.V.",Kategorie:Parteispende,"21000,00 €",CDU,2011,"Frankfurt am Main",,,
"Parteispende:Droege International Group AG-FDP-2013","Droege International Group AG",Kategorie:Parteispende,"20000,00 €",FDP,2013,Düsseldorf,,,
"Parteispende:Gelenkwellenwerk Stadtilm GmbH-CDU-2013","Gelenkwellenwerk Stadtilm GmbH",Kategorie:Parteispende,"10500,00 €",CDU,2013,Stadtilm,,,
"Parteispende:Reederei Claus Peter offen (GmbH & Co.) KG-CDU-2014","Reederei Claus Peter offen (GmbH & Co.) KG",Kategorie:Parteispende,"15000,00 €",CDU,2014,Hamburg,,,
"Parteispende:Schön Klinik Verwaltung GmbH-CDU-2013","Schön Klinik Verwaltung GmbH",Kategorie:Parteispende,"15000,00 €",CDU,2013,"Prien am Chiemsee",,,
"Parteispende:Dr. Theiss Naturwaren GmbH-CDU-2012","Dr. Theiss Naturwaren GmbH",Kategorie:Parteispende,"50000,00 €",CDU,2012,Homburg,,,
"Parteispende:Mde-tec Vertriebs GmbH-FDP-2013","Mde-tec Vertriebs GmbH",Kategorie:Parteispende,"10205,44 €",FDP,2013,Brake,,,
"Parteispende:Bahlsen GmbH & Co. KG-CDU-2013","Bahlsen GmbH & Co. KG",Kategorie:Parteispende,"10500,00 €",CDU,2013,Hannover,,,
"Parteispende:P-D ChemiePark Bitterfeld Wolfen GmbH-CDU-2011","P-D ChemiePark Bitterfeld Wolfen GmbH",Kategorie:Parteispende,"10300,00 €",CDU,2011,Friedersdorf,,,
"Parteispende:Evonik Industries AG-Grüne-2015","Evonik Industries AG",Kategorie:Parteispende,"20000,00 €","Bündnis 90/Die Grünen",2015,Essen,,,
"Parteispende:Luthardt GmbH-CDU-2010","Luthardt GmbH",Kategorie:Parteispende,"17000,00 €",CDU,2010,Berlin,,,
"Parteispende:R+V Versicherung AG-CDU-2013","R+V Versicherung AG",Kategorie:Parteispende,"11200,00 €",CDU,2013,Wiesbaden,,,
"Parteispende:BayWa AG-CDU-2010","BayWa AG",Kategorie:Parteispende,"20500,00 €",CDU,2010,München,,,
"Parteispende:TOCOS Beteiligung GmbH-CDU-2012","TOCOS Beteiligung GmbH",Kategorie:Parteispende,"25500,00 €",CDU,2012,Hamburg,,,
"Parteispende:Daimler AG-FDP-2011",Daimler,Kategorie:Parteispende,"45000,00 €",FDP,2011,Stuttgart,,,
"Parteispende:BHS Corrugated Maschinen- und Anlagenbau GmbH-CSU-2013","BHS Corrugated Maschinen- und Anlagenbau GmbH",Kategorie:Parteispende,"20000,00 €",CSU,2013,Weiherhammer,,,
"Parteispende:Verband der Chemischen Industrie e.V.-FDP-2013","Verband der Chemischen Industrie",Kategorie:Parteispende,"74500,00 €",FDP,2013,"Frankfurt am Main",,,
"Parteispende:Bundesverband Paket und Expresslogistik BIEK-CDU-2013","Bundesverband Paket und Expresslogistik BIEK",Kategorie:Parteispende,"10500,00 €",CDU,2013,Berlin,,,
"Parteispende:IBC Solar AG-Grüne-2015","IBC Solar AG",Kategorie:Parteispende,"10100,00 €","Bündnis 90/Die Grünen",2015,"Bad Staffelstein",,,
"Parteispende:Laboratoire Biosthetique Kosmetik GmbH & Co. KG-CDU-2011","Laboratoire Biosthetique Kosmetik GmbH & Co. KG",Kategorie:Parteispende,"25000,00 €",CDU,2011,Pforzheim,,,
"Parteispende:ERGO Versicherungsgruppe AG-SPD-2014","ERGO Versicherungsgruppe AG",Kategorie:Parteispende,"15000,00 €",SPD,2014,Düsseldorf,,,
"Parteispende:SGL Carbon SE-CDU-2013","SGL Carbon SE",Kategorie:Parteispende,"30000,00 €",CDU,2013,Wiesbaden,,,
"Parteispende:Daimler AG-SPD-2012",Daimler,Kategorie:Parteispende,"150000,00 €",SPD,2012,Stuttgart,,,
"Parteispende:EAN Energieanlagen Nord GmbH-CDU-2011","EAN Energieanlagen Nord GmbH",Kategorie:Parteispende,"11000,00 €",CDU,2011,Neubrandenburg,,,
"Parteispende:Dr. Theiss Naturwaren GmbH-CDU-2015","Dr. Theiss Naturwaren GmbH",Kategorie:Parteispende,"46000,00 €",CDU,2015,Homburg,,,
"Parteispende:Robert Bosch GmbH-SPD-2014","Robert Bosch GmbH",Kategorie:Parteispende,"15000,00 €",SPD,2014,Gerlingen,,,
"Parteispende:Der Grüne Punkt - Duales System Deutschland GmbH-CDU-2013","Der Grüne Punkt - Duales System Deutschland GmbH",Kategorie:Parteispende,"20000,00 €",CDU,2013,Köln,,,
"Parteispende:Rheinmetall AG-SPD-2014","Rheinmetall AG",Kategorie:Parteispende,"11500,00 €",SPD,2014,Düsseldorf,,,
"Parteispende:SMS GmbH-CDU-2013","SMS GmbH",Kategorie:Parteispende,"33000,00 €",CDU,2013,Düsseldorf,,,
"Parteispende:Milchhof Adam Albert-CSU-2013","Milchhof Adam Albert",Kategorie:Parteispende,"11500,00 €",CSU,2013,Scheßlitz,,,
"Parteispende:IBC SOLAR AG-CDU-2015","IBC SOLAR AG",Kategorie:Parteispende,"10100,00 €",CDU,2015,"Bad Staffelstein",,,
"Parteispende:IBC Solar AG-CSU-2015","IBC Solar AG",Kategorie:Parteispende,"15000,00 €",CSU,2015,"Bad Staffelstein",,,
"Parteispende:Katjes Fassin GmbH & Co. KG-CDU-2012","Katjes Fassin GmbH & Co. KG",Kategorie:Parteispende,"15000,00 €",CDU,2012,Emmerich,,,
"Parteispende:ERGO Versicherungsgruppe AG-CDU-2012","ERGO Versicherungsgruppe AG",Kategorie:Parteispende,"15000,00 €",CDU,2012,Düsseldorf,,,
"Parteispende:Vereinigte Hagelversicherung WaG-CDU-2013","Vereinigte Hagelversicherung WaG",Kategorie:Parteispende,"17500,00 €",CDU,2013,Gießen,,,
"Parteispende:Allianz SE-CSU-2014",Allianz,Kategorie:Parteispende,"30000,00 €",CSU,2014,München,,,
"Parteispende:Bauer AG-CSU-2015","Bauer AG",Kategorie:Parteispende,"12000,00 €",CSU,2015,Schrobenhausen,,,
"Parteispende:Savarpa GmbH-CDU-2012","Savarpa GmbH",Kategorie:Parteispende,"13000,00 €",CDU,2012,Wolfenbüttel,,,
"Parteispende:Hageleit GmbH-CSU-2012","Hageleit GmbH",Kategorie:Parteispende,"20000,00 €",CSU,2012,Unterroth,,,
"Parteispende:E. Breuninger GmbH & Co.-CDU-2013","E. Breuninger GmbH & Co.",Kategorie:Parteispende,"14000,00 €",CDU,2013,Stuttgart,,,
"Parteispende:EADS Deutschland GmbH-CDU-2013","EADS Deutschland GmbH",Kategorie:Parteispende,"20000,00 €",CDU,2013,Ottobrunn,,,
"Parteispende:CNC-Communication & Network Consulting AG-FDP-2011","CNC-Communication & Network Consulting AG",Kategorie:Parteispende,"48000,00 €",FDP,2011,München,,,
"Parteispende:Centropharm GmbH-CDU-2013","Centropharm GmbH",Kategorie:Parteispende,"13500,00 €",CDU,2013,Aachen,,,
"Parteispende:TRUMPF Werkzeugmaschinen GmbH & Co. KG-CDU-2012","TRUMPF Werkzeugmaschinen GmbH & Co. KG",Kategorie:Parteispende,"17000,00 €",CDU,2012,Ditzingen,,,
"Parteispende:Villeroy & Boch AG-CDU-2013","Villeroy & Boch AG",Kategorie:Parteispende,"15000,00 €",CDU,2013,Mettlach,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-FDP-2014","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.",Kategorie:Parteispende,"80000,00 €",FDP,2014,Stuttgart,,,
"Parteispende:IBC Solar AG-CSU-2012","IBC Solar AG",Kategorie:Parteispende,"20000,00 €",CSU,2012,"Bad Staffelstein",,,
"Parteispende:VBG Verwaltungs- und Beteiligungs-GmbH-CDU-2010","VBG Verwaltungs- und Beteiligungs-GmbH",Kategorie:Parteispende,"20000,00 €",CDU,2010,Marburg,,,
"Parteispende:JK Wohnbau GmbH-CSU-2010","JK Wohnbau GmbH",Kategorie:Parteispende,"12000,00 €",CSU,2010,München,,,
"Parteispende:BMW Bayerische Motoren Werke AG-SPD-2011","BMW Bayerische Motoren Werke AG",Kategorie:Parteispende,"109472,88 €",SPD,2011,München,,,
"Parteispende:Verband der Chemischen Industrie e.V.-CSU-2014","Verband der Chemischen Industrie",Kategorie:Parteispende,"12000,00 €",CSU,2014,"Frankfurt am Main",,,
"Parteispende:Südzucker AG-CDU-2011","Südzucker AG",Kategorie:Parteispende,"13000,00 €",CDU,2011,Mannheim,,,
"Parteispende:ITG Ingenieur- Tief- und Gleisbau GmbH-CDU-2015","ITG Ingenieur- Tief- und Gleisbau GmbH",Kategorie:Parteispende,"14800,00 €",CDU,2015,Stralsund,,,
"Parteispende:E. Breuninger GmbH & Co-CDU-2014","E. Breuninger GmbH & Co",Kategorie:Parteispende,"13200,00 €",CDU,2014,Stuttgart,,,
"Parteispende:Daimler AG-CSU-2013",Daimler,Kategorie:Parteispende,"40000,00 €",CSU,2013,Stuttgart,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-FDP-2011",Gesamtmetall,Kategorie:Parteispende,"20000,00 €",FDP,2011,Stuttgart,,,
"Parteispende:ERGO Versicherungsgruppe AG-CSU-2012","ERGO Versicherungsgruppe AG",Kategorie:Parteispende,"15000,00 €",CSU,2012,Düsseldorf,,,
"Parteispende:Philip Morris GmbH-SPD-2011","Philip Morris GmbH",Kategorie:Parteispende,"12000,00 €",SPD,2011,Gräfelfing,,,
"Parteispende:Gebr. Meiser GmbH-CDU-2013","Gebr. Meiser GmbH",Kategorie:Parteispende,"10200,00 €",CDU,2013,Schmelz,,,
"Parteispende:Rausch & Pausch GmbH-CSU-2014","Rausch & Pausch GmbH",Kategorie:Parteispende,"12000,00 €",CSU,2014,Selb,,,
"Parteispende:Deutsche Vermögensberatung AG DVAG-FDP-2011","Deutsche Vermögensberatung AG DVAG",Kategorie:Parteispende,"40000,00 €",FDP,2011,"Frankfurt am Main",,,
"Parteispende:IBC Solar AG-Grüne-2012","IBC Solar AG",Kategorie:Parteispende,"23500,00 €","Bündnis 90/Die Grünen",2012,"Bad Staffelstein",,,
"Parteispende:Metz GmbH-CDU-2012","Metz GmbH",Kategorie:Parteispende,"12500,00 €",CDU,2012,Dötlingen,,,
"Parteispende:Metz GmbH-CDU-2010","Metz GmbH",Kategorie:Parteispende,"24000,00 €",CDU,2010,Dötlingen,,,
"Parteispende:Allianz SE-CSU-2012",Allianz,Kategorie:Parteispende,"30000,00 €",CSU,2012,München,,,
"Parteispende:Münchener Rückversicherungs-Gesellschaft AG-SPD-2014","Münchener Rückversicherungs-Gesellschaft AG",Kategorie:Parteispende,"15000,00 €",SPD,2014,München,,,
"Parteispende:EADS Deutschland GmbH-CDU-2011","EADS Deutschland GmbH",Kategorie:Parteispende,"20000,00 €",CDU,2011,Ottobrunn,,,
"Parteispende:Sixt GmbH & Co. Autovermietung KG-SPD-2011","Sixt GmbH & Co. Autovermietung KG",Kategorie:Parteispende,"20000,00 €",SPD,2011,"Pullach im Isartal",,,
"Parteispende:Friedrich Wassermann Bauunternehmung für Hoch- & Tiefbauten GmbH & Co-CDU-2010","Friedrich Wassermann Bauunternehmung für Hoch- & Tiefbauten GmbH & Co",Kategorie:Parteispende,"18859,80 €",CDU,2010,Köln,,,
"Parteispende:Hochreiter Gaststättenbetrieb OHG-CSU-2013","Hochreiter Gaststättenbetrieb OHG",Kategorie:Parteispende,"11500,00 €",CSU,2013,München,,,
"Parteispende:Fr. Lürssen Werft GmbH & Co. KG-CDU-2011","Fr. Lürssen Werft GmbH & Co. KG",Kategorie:Parteispende,"11500,00 €",CDU,2011,Bremen,,,
"Parteispende:Heinrich Schmidt Holding GmbH & Co. KG-CDU-2014","Heinrich Schmidt Holding GmbH & Co. KG",Kategorie:Parteispende,"13200,00 €",CDU,2014,Mönchengladbach,,,
"Parteispende:EADS Deutschland GmbH-FDP-2014","EADS Deutschland GmbH",Kategorie:Parteispende,"30000,00 €",FDP,2014,Ottobrunn,,,
"Parteispende:Dr. August Oetker KG-FDP-2014","Dr. August Oetker KG",Kategorie:Parteispende,"22000,00 €",FDP,2014,Bielefeld,,,
"Parteispende:ERGO Versicherungsgruppe AG-CDU-2015","ERGO Versicherungsgruppe AG",Kategorie:Parteispende,"15000,00 €",CDU,2015,Düsseldorf,,,
"Parteispende:Philip Morris GmbH-CDU-2013","Philip Morris GmbH",Kategorie:Parteispende,"24000,00 €",CDU,2013,Gräfelfing,,,
"Parteispende:Richard Ditting GmbH & Co. KG-SPD-2011","Richard Ditting GmbH & Co. KG",Kategorie:Parteispende,"12000,00 €",SPD,2011,Rendsburg,,,
"Parteispende:TQ-Systems GmbH-CSU-2012","TQ-Systems GmbH",Kategorie:Parteispende,"15000,00 €",CSU,2012,Seefeld,,,
"Parteispende:CPO Hanser Service GmbH-SPD-2010","CPO Hanser Service GmbH",Kategorie:Parteispende,"17000,00 €",SPD,2010,Berlin,,,
"Parteispende:Tetris Grundbesitz GmbH & Co. KG-CSU-2013","Tetris Grundbesitz GmbH & Co. KG",Kategorie:Parteispende,"20000,00 €",CSU,2013,Reichenschwand,,,
"Parteispende:E. Breuninger GmbH & Co-CDU-2015","E. Breuninger GmbH & Co",Kategorie:Parteispende,"23000,00 €",CDU,2015,Stuttgart,,,
"Parteispende:Robert Bosch GmbH-SPD-2013","Robert Bosch GmbH",Kategorie:Parteispende,"45000,00 €",SPD,2013,Gerlingen,,,
"Parteispende:Steffen GmbH-CDU-2011","Steffen GmbH",Kategorie:Parteispende,"13476,75 €",CDU,2011,Friedland,,,
"Parteispende:Anton Steininger GmbH Bauuntemehmen-CSU-2013","Anton Steininger GmbH Bauuntemehmen",Kategorie:Parteispende,"11285,00 €",CSU,2013,"Neunburg vorm Wald",,,
"Parteispende:MagForce AG-CDU-2014","MagForce AG",Kategorie:Parteispende,"20000,00 €",CDU,2014,Berlin,,,
"Parteispende:FinTech Group AG-CDU-2015","FinTech Group AG",Kategorie:Parteispende,"18000,00 €",CDU,2015,"Frankfurt am Main",,,
"Parteispende:Zentralverband des Deutschen Baugewerbes e.V.-CDU-2013","Zentralverband des Deutschen Baugewerbes e.V.",Kategorie:Parteispende,"14000,00 €",CDU,2013,Berlin,,,
"Parteispende:Verband der Chemischen Industrie e.V.-SPD-2010","Verband der Chemischen Industrie",Kategorie:Parteispende,"14000,00 €",SPD,2010,"Frankfurt am Main",,,
"Parteispende:Allianz SE-CDU-2012",Allianz,Kategorie:Parteispende,"30000,00 €",CDU,2012,München,,,
"Parteispende:Allguth GmbH-CSU-2013","Allguth GmbH",Kategorie:Parteispende,"19998,00 €",CSU,2013,Gräfelfing,,,
"Parteispende:ERGO Versicherungsgruppe AG-Grüne-2014","ERGO Versicherungsgruppe AG",Kategorie:Parteispende,"15000,00 €","Bündnis 90/Die Grünen",2014,Düsseldorf,,,
"Parteispende:PF Kinobetriebe GmbH & Co. KG-CDU-2013","PF Kinobetriebe GmbH & Co. KG",Kategorie:Parteispende,"17824,87 €",CDU,2013,Pforzheim,,,
"Parteispende:Berenberg Bank Joh. Berenberg, Gossler & Co. KG-SPD-2011","Berenberg Bank Joh. Berenberg, Gossler & Co. KG",Kategorie:Parteispende,"20000,00 €",SPD,2011,Hamburg,,,
"Parteispende:ERGO Versicherungsgruppe AG-CSU-2011","ERGO Versicherungsgruppe AG",Kategorie:Parteispende,"15000,00 €",CSU,2011,Düsseldorf,,,
"Parteispende:HeidelbergCement AG-CDU-2013","HeidelbergCement AG",Kategorie:Parteispende,"50000,00 €",CDU,2013,Heidelberg,,,
"Parteispende:Daimler AG-CSU-2015",Daimler,Kategorie:Parteispende,"40000,00 €",CSU,2015,Stuttgart,,,
"Parteispende:Voith GmbH-SPD-2011","Voith GmbH",Kategorie:Parteispende,"15000,00 €",SPD,2011,"Heidenheim an der Brenz",,,
"Parteispende:Allianz SE-Grüne-2013",Allianz,Kategorie:Parteispende,"30000,00 €","Bündnis 90/Die Grünen",2013,Berlin,,,
"Parteispende:Avalon Capital One GmbH-CDU-2015","Avalon Capital One GmbH",Kategorie:Parteispende,"18000,00 €",CDU,2015,"Frankfurt am Main",,,
"Parteispende:Wolf Druckgusswerk GmbH-CSU-2013","Wolf Druckgusswerk GmbH",Kategorie:Parteispende,"20000,00 €",CSU,2013,Regensburg,,,
"Parteispende:M. M. Warburg & Co. KG auf Aktien-CDU-2011","M. M. Warburg & Co. KG auf Aktien",Kategorie:Parteispende,"30000,00 €",CDU,2011,Hamburg,,,
"Parteispende:Verband der Chemischen Industrie e.V.-SPD-2011","Verband der Chemischen Industrie",Kategorie:Parteispende,"60000,00 €",SPD,2011,"Frankfurt am Main",,,
"Parteispende:Kahla/Thüringer Porzellan GmbH-FDP-2014","Kahla/Thüringer Porzellan GmbH",Kategorie:Parteispende,"12211,30 €",FDP,2014,Kahla,,,
"Parteispende:Wilh. Werhahn KG-CDU-2013","Wilh. Werhahn KG",Kategorie:Parteispende,"20000,00 €",CDU,2013,Neuss,,,
"Parteispende:Marquardt GmbH-CDU-2014","Marquardt GmbH",Kategorie:Parteispende,"21000,00 €",CDU,2014,Rietheim-Weilheim,,,
"Parteispende:Bauindustrieverband Hesse-Thüringen e.V.-CDU-2014","Bauindustrieverband Hesse-Thüringen e.V.",Kategorie:Parteispende,"12500,00 €",CDU,2014,Wiesbaden,,,
"Parteispende:TOCOS Beteiligung GmbH-CDU-2011","TOCOS Beteiligung GmbH",Kategorie:Parteispende,"44500,00 €",CDU,2011,Hamburg,,,
"Parteispende:Weeber Zeltbetrieb GmbH & Co. KG-CDU-2013","Weeber Zeltbetrieb GmbH & Co. KG",Kategorie:Parteispende,"15000,00 €",CDU,2013,Stuttgart,,,
"Parteispende:Sparda-Bank Münster eG-CDU-2010","Sparda-Bank Münster eG",Kategorie:Parteispende,"20000,00 €",CDU,2010,Münster,,,
Parteispende:Sydslesvigudvalget/Vermietermodernisierung-SSW-2013,Sydslesvigudvalget/Vermietermodernisierung,Kategorie:Parteispende,"458000,00 €",SSW,2013,Kopenhagen,,,
"Parteispende:Evonik Industries AG-CDU-2013","Evonik Industries AG",Kategorie:Parteispende,"70000,00 €",CDU,2013,Essen,,,
"Parteispende:Victors Bau Wert AG-FDP-2010","Victors Bau Wert AG",Kategorie:Parteispende,"29998,00 €",FDP,2010,Saarbrücken,,,
"Parteispende:Buss Group GmbH & Co. KG-CDU-2010","Buss Group GmbH & Co. KG",Kategorie:Parteispende,"11000,00 €",CDU,2010,Hamburg,,,
"Parteispende:EADS Deutschland GmbH-SPD-2013","EADS Deutschland GmbH",Kategorie:Parteispende,"30000,00 €",SPD,2013,Ottobrunn,,,
"Parteispende:Harlekin GmbH-CSU-2010","Harlekin GmbH",Kategorie:Parteispende,"11000,00 €",CSU,2010,Waldbrunn,,,
"Parteispende:Hülsmann Omnibusbetriebe GmbH & Co KG-CDU-2013","Hülsmann Omnibusbetriebe GmbH & Co KG",Kategorie:Parteispende,"11500,00 €",CDU,2013,Voltlage,,,
"Parteispende:Underberg GmbH & Co. KG-CDU-2013","Underberg GmbH & Co. KG",Kategorie:Parteispende,"20000,00 €",CDU,2013,Rheinberg,,,
"Parteispende:Remondis GmbH & Co. KG Ost-CDU-2011","Remondis GmbH & Co. KG Ost",Kategorie:Parteispende,"14900,00 €",CDU,2011,"Kloster Lehnin",,,
"Parteispende:DBG Beteiligungsgesellschaft mbH & Co. KG-CDU-2010","DBG Beteiligungsgesellschaft mbH & Co. KG",Kategorie:Parteispende,"48500,00 €",CDU,2010,Essen,,,
"Parteispende:ZÜLOW AG-CDU-2015","ZÜLOW AG",Kategorie:Parteispende,"11500,00 €",CDU,2015,Neuss,,,
"Parteispende:Allfinanz Deutsche Vermögensberatung AG-CDU-2011","Allfinanz Deutsche Vermögensberatung AG",Kategorie:Parteispende,"40000,00 €",CDU,2011,"Frankfurt am Main",,,
"Parteispende:Berenberg Bank Joh. Berenberg, Gossler & Co. KG-CDU-2010","Berenberg Bank Joh. Berenberg, Gossler & Co. KG",Kategorie:Parteispende,"130000,00 €",CDU,2010,Hamburg,,,
"Parteispende:Daimler AG-FDP-2010",Daimler,Kategorie:Parteispende,"45000,00 €",FDP,2010,Stuttgart,,,
"Parteispende:ERL-Bau GmbH&Co. KG-CSU-2014","ERL-Bau GmbH&Co. KG",Kategorie:Parteispende,"26500,00 €",CSU,2014,Deggendorf,,,
"Parteispende:Rothenberger AG-CDU-2013","Rothenberger AG",Kategorie:Parteispende,"35000,00 €",CDU,2013,"Kelkheim (Taunus)",,,
"Parteispende:Semper idem Underberg GmbH-CDU-2012","Semper idem Underberg GmbH",Kategorie:Parteispende,"20000,00 €",CDU,2012,Rheinberg,,,
"Parteispende:Märkischer Arbeitgeberverband e.V.-CDU-2012","Märkischer Arbeitgeberverband e.V.",Kategorie:Parteispende,"29000,00 €",CDU,2012,Iserlohn,,,
"Parteispende:Allianz SE-FDP-2013",Allianz,Kategorie:Parteispende,"30000,00 €",FDP,2013,München,,,
"Parteispende:CITTI Handelsgesellschaft mbH & Co. KG-CDU-2012","CITTI Handelsgesellschaft mbH & Co. KG",Kategorie:Parteispende,"23500,00 €",CDU,2012,Kiel,,,
"Parteispende:Worschech Partner Architekten GbR-CDU-2014","Worschech Partner Architekten GbR",Kategorie:Parteispende,"14000,00 €",CDU,2014,Erfurt,,,
"Parteispende:ERCK Rickmers GmbH & Cie. KG-SPD-2011","ERCK Rickmers GmbH & Cie. KG",Kategorie:Parteispende,"49000,00 €",SPD,2011,Hamburg,,,
"Parteispende:Kerkhoff Consulting GmbH-FDP-2013","Kerkhoff Consulting GmbH",Kategorie:Parteispende,"13756,40 €",FDP,2013,Düsseldorf,,,
"Parteispende:Dr. August Oetker KG-CDU-2012","Dr. August Oetker KG",Kategorie:Parteispende,"112000,00 €",CDU,2012,Bielefeld,,,
"Parteispende:Marquardt GmbH-CDU-2013","Marquardt GmbH",Kategorie:Parteispende,"10500,00 €",CDU,2013,Rietheim-Weilheim,,,
"Parteispende:K.A: Schmersal Holding GmbH & Co. KG-SPD-2015","K.A: Schmersal Holding GmbH & Co. KG",Kategorie:Parteispende,"12000,00 €",SPD,2015,Wuppertal,,,
"Parteispende:Robert Bosch GmbH-CDU-2013","Robert Bosch GmbH",Kategorie:Parteispende,"50000,00 €",CDU,2013,Gerlingen,,,
"Parteispende:Inpunkto GmbH-FDP-2012","Inpunkto GmbH",Kategorie:Parteispende,"15000,00 €",FDP,2012,Mönchengladbach,,,
"Parteispende:HanseMerkur Krankenversicherung AG-CDU-2012","HanseMerkur Krankenversicherung AG",Kategorie:Parteispende,"29000,00 €",CDU,2012,Hamburg,,,
"Parteispende:BFD Buchholz Fachinformationsdienst GmbH-SPD-2012","BFD Buchholz Fachinformationsdienst GmbH",Kategorie:Parteispende,"18000,00 €",SPD,2012,Bexbach,,,
"Parteispende:CDD GmbH & Co KG Unterbruch-CDU-2013","CDD GmbH & Co KG Unterbruch",Kategorie:Parteispende,"13119,01 €",CDU,2013,Heinsberg,,,
"Parteispende:R. Kossow & Levermann GmbH-CDU-2011","R. Kossow & Levermann GmbH",Kategorie:Parteispende,"16677,55 €",CDU,2011,Marlow,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-CDU-2010",Gesamtmetall,Kategorie:Parteispende,"200000,00 €",CDU,2010,Stuttgart,,,
"Parteispende:Dr. August Oetker KG-CSU-2013","Dr. August Oetker KG",Kategorie:Parteispende,"34000,00 €",CSU,2013,Bielefeld,,,
"Parteispende:Verband der Chemischen Industrie e.V.-SPD-2012","Verband der Chemischen Industrie",Kategorie:Parteispende,"34000,00 €",SPD,2012,"Frankfurt am Main",,,
"Parteispende:BMW Bayerische Motoren Werke AG-CDU-2011","BMW Bayerische Motoren Werke AG",Kategorie:Parteispende,"57048,34 €",CDU,2011,München,,,
"Parteispende:German Startups Group Berlin GmbH & Co. KG-CDU-2015","German Startups Group Berlin GmbH & Co. KG",Kategorie:Parteispende,"13000,00 €",CDU,2015,Berlin,,,
"Parteispende:IBC SOLAR AG-CDU-2012","IBC SOLAR AG",Kategorie:Parteispende,"23500,00 €",CDU,2012,"Bad Staffelstein",,,
"Parteispende:Philip Morris GmbH-SPD-2015","Philip Morris GmbH",Kategorie:Parteispende,"15000,00 €",SPD,2015,Gräfelfing,,,
"Parteispende:Hausbaugesellschaft Klara Str. mbh & Co. KG-CDU-2015","Hausbaugesellschaft Klara Str. mbh & Co. KG",Kategorie:Parteispende,"18900,00 €",CDU,2015,Ingelheim,,,
"Parteispende:Philip Morris GmbH-CDU-2011","Philip Morris GmbH",Kategorie:Parteispende,"12000,00 €",CDU,2011,Gräfelfing,,,
"Parteispende:ERGO Versicherungsgruppe AG-CDU-2010","ERGO Versicherungsgruppe AG",Kategorie:Parteispende,"12500,00 €",CDU,2010,Düsseldorf,,,
"Parteispende:KPE GmbH & Co. KG-SPD-2015","KPE GmbH & Co. KG",Kategorie:Parteispende,"26000,00 €",SPD,2015,Köln,,,
"Parteispende:Nordagrar GmbH-CDU-2011","Nordagrar GmbH",Kategorie:Parteispende,"15000,00 €",CDU,2011,Kasseedorf,,,
"Parteispende:Allianz SE-SPD-2010",Allianz,Kategorie:Parteispende,"60001,00 €",SPD,2010,München,,,
"Parteispende:Allianz SE-FDP-2014",Allianz,Kategorie:Parteispende,"20000,00 €",FDP,2014,München,,,
"Parteispende:Philip Morris GmbH-SPD-2014","Philip Morris GmbH",Kategorie:Parteispende,"15000,00 €",SPD,2014,Gräfelfing,,,
"Parteispende:CWW Vermögensverwaltung GmbH-SPD-2014","CWW Vermögensverwaltung GmbH",Kategorie:Parteispende,"20000,00 €",SPD,2014,"Schwarzenbach an der Saale",,,
"Parteispende:TQ-Systems GmbH-CSU-2011","TQ-Systems GmbH",Kategorie:Parteispende,"15000,00 €",CSU,2011,Seefeld,,,
